"","Park.Name","Area","Latitude","Longitude","Category","Order","Family","Scientific.Name","Conservation.Status"
"1","Acadia National Park",47390,44.35,-68.21,"Mammal","Chiroptera","Vespertilionidae","Eptesicus fuscus","Species of Concern"
"2","Acadia National Park",47390,44.35,-68.21,"Mammal","Chiroptera","Vespertilionidae","Lasionycteris noctivagans","Species of Concern"
"3","Acadia National Park",47390,44.35,-68.21,"Mammal","Chiroptera","Vespertilionidae","Lasiurus borealis","Least Concern"
"4","Acadia National Park",47390,44.35,-68.21,"Mammal","Chiroptera","Vespertilionidae","Lasiurus cinereus","Least Concern"
"5","Acadia National Park",47390,44.35,-68.21,"Mammal","Chiroptera","Vespertilionidae","Myotis keenii","Species of Concern"
"6","Acadia National Park",47390,44.35,-68.21,"Mammal","Chiroptera","Vespertilionidae","Myotis leibii","Species of Concern"
"7","Acadia National Park",47390,44.35,-68.21,"Mammal","Chiroptera","Vespertilionidae","Myotis lucifugus","Species of Concern"
"8","Acadia National Park",47390,44.35,-68.21,"Mammal","Chiroptera","Vespertilionidae","Pipistrellus subflavus","Least Concern"
"9","Arches National Park",76519,38.68,-109.57,"Mammal","Chiroptera","Molossidae","Nyctinomops macrotis","Species of Concern"
"10","Arches National Park",76519,38.68,-109.57,"Mammal","Chiroptera","Molossidae","Tadarida brasiliensis","Least Concern"
"11","Arches National Park",76519,38.68,-109.57,"Mammal","Chiroptera","Vespertilionidae","Antrozous pallidus","Species of Concern"
"12","Arches National Park",76519,38.68,-109.57,"Mammal","Chiroptera","Vespertilionidae","Corynorhinus townsendii","Least Concern"
"13","Arches National Park",76519,38.68,-109.57,"Mammal","Chiroptera","Vespertilionidae","Eptesicus fuscus","Species of Concern"
"14","Arches National Park",76519,38.68,-109.57,"Mammal","Chiroptera","Vespertilionidae","Euderma maculatum","Species of Concern"
"15","Arches National Park",76519,38.68,-109.57,"Mammal","Chiroptera","Vespertilionidae","Idionycteris phyllotis","Species of Concern"
"16","Arches National Park",76519,38.68,-109.57,"Mammal","Chiroptera","Vespertilionidae","Lasionycteris noctivagans","Species of Concern"
"17","Arches National Park",76519,38.68,-109.57,"Mammal","Chiroptera","Vespertilionidae","Lasiurus cinereus","Least Concern"
"18","Arches National Park",76519,38.68,-109.57,"Mammal","Chiroptera","Vespertilionidae","Myotis californicus","Species of Concern"
"19","Arches National Park",76519,38.68,-109.57,"Mammal","Chiroptera","Vespertilionidae","Myotis ciliolabrum","Least Concern"
"20","Arches National Park",76519,38.68,-109.57,"Mammal","Chiroptera","Vespertilionidae","Myotis evotis","Species of Concern"
"21","Arches National Park",76519,38.68,-109.57,"Mammal","Chiroptera","Vespertilionidae","Myotis lucifugus","Species of Concern"
"22","Arches National Park",76519,38.68,-109.57,"Mammal","Chiroptera","Vespertilionidae","Myotis thysanodes","Species of Concern"
"23","Arches National Park",76519,38.68,-109.57,"Mammal","Chiroptera","Vespertilionidae","Myotis volans","Species of Concern"
"24","Arches National Park",76519,38.68,-109.57,"Mammal","Chiroptera","Vespertilionidae","Myotis yumanensis","Species of Concern"
"25","Arches National Park",76519,38.68,-109.57,"Mammal","Chiroptera","Vespertilionidae","Pipistrellus hesperus","Species of Concern"
"26","Badlands National Park",242756,43.75,-102.5,"Mammal","Chiroptera","Vespertilionidae","Corynorhinus townsendii","Least Concern"
"27","Badlands National Park",242756,43.75,-102.5,"Mammal","Chiroptera","Vespertilionidae","Eptesicus fuscus","Species of Concern"
"28","Badlands National Park",242756,43.75,-102.5,"Mammal","Chiroptera","Vespertilionidae","Lasionycteris noctivagans","Species of Concern"
"29","Badlands National Park",242756,43.75,-102.5,"Mammal","Chiroptera","Vespertilionidae","Lasiurus cinereus","Least Concern"
"30","Badlands National Park",242756,43.75,-102.5,"Mammal","Chiroptera","Vespertilionidae","Myotis ciliolabrum","Least Concern"
"31","Badlands National Park",242756,43.75,-102.5,"Mammal","Chiroptera","Vespertilionidae","Myotis evotis","Species of Concern"
"32","Badlands National Park",242756,43.75,-102.5,"Mammal","Chiroptera","Vespertilionidae","Myotis lucifugus","Species of Concern"
"33","Badlands National Park",242756,43.75,-102.5,"Mammal","Chiroptera","Vespertilionidae","Myotis septentrionalis","Threatened"
"34","Badlands National Park",242756,43.75,-102.5,"Mammal","Chiroptera","Vespertilionidae","Myotis thysanodes pahasapensis","Species of Concern"
"35","Badlands National Park",242756,43.75,-102.5,"Mammal","Chiroptera","Vespertilionidae","Myotis volans","Species of Concern"
"36","Big Bend National Park",801163,29.25,-103.25,"Mammal","Chiroptera","Molossidae","Eumops perotis","Least Concern"
"37","Big Bend National Park",801163,29.25,-103.25,"Mammal","Chiroptera","Molossidae","Nyctinomops femorosaccus","Species of Concern"
"38","Big Bend National Park",801163,29.25,-103.25,"Mammal","Chiroptera","Molossidae","Nyctinomops macrotis","Species of Concern"
"39","Big Bend National Park",801163,29.25,-103.25,"Mammal","Chiroptera","Molossidae","Tadarida brasiliensis","Least Concern"
"40","Big Bend National Park",801163,29.25,-103.25,"Mammal","Chiroptera","Mormoopidae","Mormoops megalophylla","Least Concern"
"41","Big Bend National Park",801163,29.25,-103.25,"Mammal","Chiroptera","Phyllostomidae","Leptonycteris nivalis","Endangered"
"42","Big Bend National Park",801163,29.25,-103.25,"Mammal","Chiroptera","Vespertilionidae","Antrozous pallidus","Species of Concern"
"43","Big Bend National Park",801163,29.25,-103.25,"Mammal","Chiroptera","Vespertilionidae","Corynorhinus townsendii","Least Concern"
"44","Big Bend National Park",801163,29.25,-103.25,"Mammal","Chiroptera","Vespertilionidae","Eptesicus fuscus","Species of Concern"
"45","Big Bend National Park",801163,29.25,-103.25,"Mammal","Chiroptera","Vespertilionidae","Euderma maculatum","Species of Concern"
"46","Big Bend National Park",801163,29.25,-103.25,"Mammal","Chiroptera","Vespertilionidae","Lasionycteris noctivagans","Species of Concern"
"47","Big Bend National Park",801163,29.25,-103.25,"Mammal","Chiroptera","Vespertilionidae","Lasiurus borealis","Least Concern"
"48","Big Bend National Park",801163,29.25,-103.25,"Mammal","Chiroptera","Vespertilionidae","Lasiurus cinereus","Least Concern"
"49","Big Bend National Park",801163,29.25,-103.25,"Mammal","Chiroptera","Vespertilionidae","Lasiurus xanthinus","Least Concern"
"50","Big Bend National Park",801163,29.25,-103.25,"Mammal","Chiroptera","Vespertilionidae","Myotis californicus","Species of Concern"
"51","Big Bend National Park",801163,29.25,-103.25,"Mammal","Chiroptera","Vespertilionidae","Myotis ciliolabrum","Least Concern"
"52","Big Bend National Park",801163,29.25,-103.25,"Mammal","Chiroptera","Vespertilionidae","Myotis thysanodes","Species of Concern"
"53","Big Bend National Park",801163,29.25,-103.25,"Mammal","Chiroptera","Vespertilionidae","Myotis velifer","Species of Concern"
"54","Big Bend National Park",801163,29.25,-103.25,"Mammal","Chiroptera","Vespertilionidae","Myotis volans","Species of Concern"
